"store"	"depart"	"error"
1	1	448.983805744033
2	1	677.596948448274
3	1	158.172533073103
4	1	628.708925939808
5	1	169.499674173727
6	1	479.279517580443
7	1	177.26433905204
8	1	356.765796668912
9	1	194.054628712164
10	1	1270.48722499216
11	1	492.835765093393
12	1	487.87999293104
13	1	1523.07841636755
14	1	1593.58184087389
15	1	460.474395191917
16	1	196.814821212705
17	1	557.050746935993
18	1	790.381527731194
19	1	863.399259961919
20	1	1373.87488685207
21	1	275.661907971959
22	1	942.532424684906
23	1	1088.43804297221
24	1	640.565442906139
25	1	526.193639731376
26	1	352.58314918626
27	1	810.578483010718
28	1	531.390410629995
29	1	452.814407058208
30	1	185.888672687451
31	1	282.341543343536
32	1	425.852306847824
33	1	68.5536986883328
34	1	317.86560299977
35	1	423.461108171506
36	1	51.7794921563239
37	1	183.343531994951
38	1	115.118990916414
39	1	587.427674281075
40	1	356.26403683576
41	1	470.516913433027
42	1	191.664857597057
43	1	476.357209960403
44	1	138.817558927946
45	1	652.896098399372
1	2	292.775829754523
2	2	310.972352780099
3	2	138.354097942641
4	2	667.314564172255
5	2	61.5568399946038
6	2	321.13594811895
7	2	281.351692346733
8	2	237.638303614056
9	2	148.311141373003
10	2	905.464390622106
11	2	373.162632320631
12	2	620.961746723825
13	2	484.810957261323
14	2	660.046513627309
15	2	212.932163498597
16	2	236.720866400241
17	2	536.583436812975
18	2	593.494751682022
19	2	475.937538327155
20	2	506.272417055602
21	2	308.375895790455
22	2	293.3417156329
23	2	738.006801438007
24	2	320.642768839205
25	2	272.557905733733
26	2	249.131280505458
27	2	764.408047139733
28	2	558.217249411039
29	2	176.909440904968
30	2	88.2317989756841
31	2	284.90634532241
32	2	276.934755283199
33	2	42.9434618222792
34	2	260.733186289882
35	2	564.407774516424
36	2	113.408987183171
37	2	80.0584611965401
38	2	55.6817753204137
39	2	609.863655286564
40	2	247.615358903492
41	2	341.175449872066
42	2	92.6018170229413
43	2	154.017970382314
44	2	49.2776120413703
45	2	230.802787946862
1	3	213.576504117426
2	3	261.096484975027
3	3	86.6533936234235
4	3	440.071505955434
5	3	80.6176290038391
6	3	221.573723731395
7	3	145.850344989414
8	3	214.392211843342
9	3	152.076210377397
10	3	1023.89740217654
11	3	259.161564178638
12	3	395.616289376189
13	3	731.972208060394
14	3	575.625752180723
15	3	146.64811071189
16	3	128.710664135503
17	3	444.577477831435
18	3	374.476107832173
19	3	472.797710061618
20	3	235.047445535791
21	3	296.125444013531
22	3	263.657951698646
23	3	283.707158577454
24	3	218.2723096305
25	3	168.036434015436
26	3	129.589884691874
27	3	388.162168916192
28	3	267.938805948434
29	3	144.277437735897
30	3	15.660541064187
31	3	233.448953287086
32	3	246.690532533119
33	3	13.656483570123
34	3	216.080297502918
35	3	410.993036297444
36	3	11.9495257000661
37	3	21.3466468265012
38	3	14.662027308273
39	3	472.380788787012
40	3	109.772323274248
41	3	466.563534117071
42	3	20.1867256410958
43	3	31.4048845644288
44	3	12.7582016228975
45	3	194.363979237967
1	4	321.755422500023
2	4	263.946795641634
3	4	65.1158760542907
4	4	434.265381596847
5	4	44.542212478698
6	4	173.512274752924
7	4	181.251225967238
8	4	127.293820781762
9	4	102.321645365376
10	4	433.686326894526
11	4	163.254516755903
12	4	190.564899944815
13	4	224.4329689656
14	4	519.679247701237
15	4	87.5429292074829
16	4	129.634037414817
17	4	363.651124354537
18	4	185.30936281265
19	4	186.39276601804
20	4	349.921277086911
21	4	161.10652496786
22	4	199.687482030631
23	4	232.875860710136
24	4	179.322749020627
25	4	137.496213661913
26	4	144.73573378957
27	4	330.602992524764
28	4	234.486029485744
29	4	101.458748608754
30	4	105.107418788253
31	4	207.7118856267
32	4	147.226942645087
33	4	50.7505360128236
34	4	117.684655591017
35	4	302.630748548326
36	4	136.461616321723
37	4	119.167297263727
38	4	66.7933521017924
39	4	415.788002051219
40	4	146.547409699408
41	4	266.508331121494
42	4	89.8437685206976
43	4	143.764327763646
44	4	43.7789171420524
45	4	149.077862370693
1	5	370.016838866411
2	5	482.482681689405
3	5	294.986276321045
4	5	637.385324316009
5	5	160.161512165832
6	5	437.505923519392
7	5	266.874273640199
8	5	313.26171189588
9	5	283.964106923376
10	5	1088.09386641378
11	5	544.231776863428
12	5	388.668483504547
13	5	1184.51621949266
14	5	686.510869386848
15	5	418.175150620212
16	5	279.155893042388
17	5	594.129858084345
18	5	458.136160147976
19	5	475.120866971653
20	5	638.353908651982
21	5	371.505581993829
22	5	424.955428046481
23	5	686.029057755251
24	5	335.097267942552
25	5	363.051338732957
26	5	263.314904303597
27	5	539.307092102645
28	5	446.612487486233
29	5	318.221389660044
30	5	16.1715319199467
31	5	313.439937760779
32	5	375.666972968759
33	5	6.85037116002127
34	5	292.594331277821
35	5	632.940040498379
36	5	30.3646484747124
37	5	34.1267340760701
38	5	16.0746525160346
39	5	565.623211765372
40	5	206.764190114665
41	5	426.177227954706
42	5	35.5467112779571
43	5	47.1545242265152
44	5	37.7878326124339
45	5	385.568271701524
1	6	103.589416649414
2	6	145.263169722859
3	6	71.9994524621525
4	6	179.584870634997
5	6	61.4733530103995
6	6	137.097118118127
7	6	139.589851808796
8	6	92.8985805038221
9	6	80.6527711820359
10	6	222.457675263362
11	6	116.118035726655
12	6	118.471343954105
13	6	136.236123495221
14	6	148.849799522503
15	6	93.8711137123877
16	6	133.538037211311
17	6	125.122259499695
18	6	117.896219248763
19	6	106.234404713085
20	6	203.975045514533
21	6	92.9881484187488
22	6	128.523629700959
23	6	136.602869196457
24	6	116.450050792315
25	6	94.2113721669128
26	6	115.470834013322
27	6	157.026783300586
28	6	123.027591207505
29	6	96.5570779911762
30	6	72.3776093703471
31	6	109.376646058257
32	6	105.021312543922
33	6	-1
34	6	77.1023388733167
35	6	182.176637224565
36	6	243.012062968818
37	6	65.6721561077868
38	6	65.5955647911714
39	6	133.129208348384
40	6	79.04490281969
41	6	114.443932242959
42	6	194.81589447553
43	6	72.3911520058969
44	6	68.7291624682509
45	6	92.0032929759112
1	7	446.937335988596
2	7	832.539015710601
3	7	180.320448416599
4	7	824.710048932577
5	7	113.290599864611
6	7	497.267992921014
7	7	248.260991703752
8	7	330.008050119249
9	7	164.988857714615
10	7	1388.50662222457
11	7	666.91660287942
12	7	893.641153096349
13	7	730.528277314019
14	7	1351.13681520225
15	7	327.784232607517
16	7	204.930606811808
17	7	341.389123349788
18	7	726.929617563796
19	7	380.910252254319
20	7	1078.69784264478
21	7	1002.15339643903
22	7	463.112167563398
23	7	737.011578105105
24	7	405.368699525657
25	7	368.296052507944
26	7	295.863096114621
27	7	537.792022258225
28	7	734.549404085168
29	7	341.962230898807
30	7	14.2419820456212
31	7	561.371151591476
32	7	479.687879644239
33	7	35.2255032127581
34	7	299.085909316342
35	7	664.502815990006
36	7	10.4763793933832
37	7	24.9650924363809
38	7	16.6690882542751
39	7	672.354507649509
40	7	271.858023021214
41	7	504.575503081127
42	7	41.6694992742559
43	7	25.3179446554616
44	7	25.8515620696271
45	7	646.564749175188
1	8	376.795797174289
2	8	596.350819007705
3	8	53.4450383037356
4	8	708.310269717861
5	8	98.3831517761141
6	8	297.090295388224
7	8	103.880450749802
8	8	235.083660576288
9	8	180.510008611864
10	8	834.144130301738
11	8	236.404813609375
12	8	419.799519097875
13	8	328.578674328986
14	8	558.8687952146
15	8	143.358252152535
16	8	99.8721236485797
17	8	138.345267379597
18	8	314.282496633085
19	8	321.916923548055
20	8	668.577357375683
21	8	132.494529032902
22	8	219.17561476083
23	8	250.00320978127
24	8	383.894626616872
25	8	204.938852474119
26	8	235.525453046294
27	8	375.121707160289
28	8	360.432105564696
29	8	121.544271571699
30	8	72.8062755378339
31	8	151.807728604204
32	8	183.144583280347
33	8	32.0749181745222
34	8	205.976006596246
35	8	250.676687699472
36	8	24.0016814549566
37	8	132.491547739772
38	8	46.3135966859684
39	8	283.387468132989
40	8	288.615928320762
41	8	236.09258134854
42	8	161.884301350348
43	8	89.6208633170238
44	8	25.3676161497761
45	8	302.000859721865
1	9	469.197468924032
2	9	427.704768497811
3	9	179.029899806474
4	9	433.399427645272
5	9	134.588445956755
6	9	579.007762605064
7	9	592.63001981992
8	9	154.485750290009
9	9	201.278841062139
10	9	814.955821067829
11	9	203.845542974086
12	9	240.839804502149
13	9	520.554051840242
14	9	300.597455490965
15	9	188.41761808312
16	9	1233.32659465929
17	9	377.055416563869
18	9	303.420089128083
19	9	508.6493012031
20	9	528.631860605913
21	9	168.412425474312
22	9	243.936499000727
23	9	604.418586199626
24	9	334.150010109114
25	9	215.093220037339
26	9	236.498849014537
27	9	355.026064369621
28	9	256.329367367539
29	9	168.37204418899
30	9	3.68491061927838
31	9	136.810691225807
32	9	280.80743880906
33	9	3.07506634503663
34	9	302.045879642937
35	9	267.632742078753
36	9	5.24949589485607
37	9	4.5430601126174
38	9	2.91085358485293
39	9	183.955840484973
40	9	244.848280059168
41	9	428.704119165371
42	9	4.07725832320759
43	9	5.10013022679879
44	9	4.14414550119549
45	9	211.647380819169
1	10	739.279690580337
2	10	731.122973590277
3	10	197.386153751652
4	10	672.283529478547
5	10	127.734374971608
6	10	1063.33817705476
7	10	544.315317686557
8	10	319.3022545158
9	10	247.956956222344
10	10	1302.8275488195
11	10	213.488280197851
12	10	257.430894172007
13	10	372.930830159904
14	10	243.980327288108
15	10	246.329059220292
16	10	243.742462351803
17	10	181.262988555211
18	10	202.455851627388
19	10	433.736510056086
20	10	909.530912502529
21	10	262.706203793281
